PWSID,dist_airport_m,dist_airport_km,dist_military_m,dist_military_km,dist_landfill_m,dist_landfill_km,dist_wwtp_m,dist_wwtp_km,dist_industrial_m,dist_industrial_km,landfills_within_1km,industrial_within_1km,landfills_within_3km,industrial_within_3km,landfills_within_5km,industrial_within_5km,landfills_within_10km,industrial_within_10km,is_groundwater,is_mwra,source_type,SITE_NAME,TOWN,num_sources,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl,in_ucmr5,pfas_detected,serves_ej_community,ej_area_fraction,ej_population_overlapped,any_income,any_minority,any_english,ej_criteria_distinct
MA1227000,5959.327047998634,5.959327047998634,18422.355064232044,18.422355064232043,336.9022411438343,0.3369022411438343,2770.138742093549,2.770138742093549,573.0612972782659,0.5730612972782659,1,1,1,5,4,8,12,10,1,0,GW,GP WELL #2 (02G),PALMER,4,PALMER WATER DISTRICT NO.1,8.0,232.0,False,False,,,0.0,10.5,False,True,0,1,0.2661098863826806,3083.0,1,0,0,1
MA1236000,2030.8566587699024,2.030856658769902,44217.52256884112,44.21752256884112,2494.213777406548,2.4942137774065483,2788.26271689155,2.78826271689155,3566.444242481143,3.566444242481144,0,0,1,0,2,1,11,26,0,0,SW,ASHLEY INTAKE RESERVOIR (03S),PITTSFIELD,6,PITTSFIELD DPU WATER DEPT,9.0,207.0,False,False,,,0.0,10.5,False,True,0,1,0.2586521733481949,21375.0,1,1,0,3
MA1275001,838.998323838402,0.838998323838402,11151.59102471064,11.15159102471064,475.2048887402137,0.4752048887402137,4892.54813030501,4.89254813030501,2131.126645266062,2.131126645266062,1,0,1,1,4,4,13,35,1,0,GW,DRY BROOK WELL #1 (04G),SOUTH HADLEY,2,SOUTH HADLEY FIRE DISTRICT #2 WATER DEPT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.0895970285957622,2185.0,0,1,0,1
MA1276000,8002.324316793008,8.002324316793008,9916.859097511951,9.916859097511953,722.2932127772743,0.7222932127772743,3602.968767846487,3.602968767846487,1208.63648939253,1.20863648939253,1,0,1,1,5,2,14,22,1,0,GW,GLENDALE WELL #2,SOUTHAMPTON,1,SOUTHAMPTON WATER DEPT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,0,0.0,0.0,0,0,0,0
MA1279000,742.8756847495981,0.7428756847495981,10771.019865455126,10.771019865455123,1681.1262487269582,1.6811262487269585,2515.963424395084,2.515963424395084,641.3660133160399,0.6413660133160399,0,2,1,5,2,5,6,26,1,0,GW,GREAT BROOK WELL #1,SOUTHWICK,2,SOUTHWICK WATER DEPT,8.0,232.0,False,False,,,0.0,10.5,False,True,0,0,0.0,0.0,0,0,0,0
MA1281000,1819.830793075248,1.819830793075248,8517.71796235095,8.517717962350948,2264.6997286550472,2.264699728655047,3112.533278840924,3.112533278840924,3375.6704476253817,3.3756704476253816,0,0,2,0,4,1,12,37,0,0,SW,LITTLEVILLE RESERVOIR (03S),SPRINGFIELD,6,SPRINGFIELD WATER AND SEWER COMMISSION,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.872270500559935,173001.0,1,1,1,5
MA1309000,314.4024614685771,0.3144024614685771,24776.430094898027,24.77643009489803,1367.6662722162098,1.3676662722162098,533.810525920789,0.533810525920789,827.4249216624543,0.8274249216624543,0,1,3,4,4,4,13,5,1,0,GW,DISMAL SWAMP WELL (03G),WARE,4,WARE WATER DEPT,4.0,116.0,True,True,4.9,7.1000000000000005,4.0,18.5,False,True,1,1,0.3760351563340907,4043.0,1,1,0,2
MA1325000,1637.8528612457787,1.6378528612457788,8425.684895024675,8.425684895024675,1642.3141082295665,1.6423141082295662,4301.844095694955,4.301844095694955,1610.955509922055,1.610955509922055,0,0,1,3,2,14,14,50,1,0,GW,GP WELL 2 (02G),WEST SPRINGFIELD,4,WEST SPRINGFIELD DPW WATER DIVISION,2.0,58.0,False,False,,,0.0,10.5,False,True,0,1,0.5457698714465015,22219.0,1,1,0,3
MA1329000,674.1846821528175,0.6741846821528175,650.0880037191284,0.6500880037191284,736.7986386473768,0.7367986386473768,1644.2858912994805,1.6442858912994804,366.5663374669572,0.3665663374669571,1,1,1,14,4,22,18,65,1,0,GW,WELL #6,WESTFIELD,9,WESTFIELD WATER DEPT,14.0,406.0,True,False,,,1.0,10.5,False,True,1,1,0.1898356896590795,15114.0,1,1,0,3
MA1337010,6813.132122232704,6.813132122232704,26168.27542958313,26.16827542958313,2271.118410074899,2.2711184100749,4508.45542397919,4.508455423979189,5694.792978305848,5.694792978305848,0,0,1,0,3,0,7,20,1,0,GW,WELL #1,WHATELY,2,WHATELY WATER DEPARTMENT,2.0,58.0,False,False,,,0.0,10.5,False,True,0,0,0.0,0.0,0,0,0,0
